"Count","Name"
"1","CASPER CREEK LAKE"
"1","FT. PATRCK HENRY LAKE"
"1","WOODS RESERVIOR"
"1","LAKE CHICKAMAUGA"
"1","BIG NORTH LAKE"
"1","MELTON  HILL"
"1","PEPPER BRANCH PARK"
"1","TWO RIVERS LAKE"
"1","JOHNSONS PARK LAKE"
"1","GRASSY LAKE"
"1","BLUEGRASS LAKE"
"1","OLD HIKCORY RES"
"1","TUMBLING CREEK"
"1","MARTIN REC CENTER"
"1","N F HOLSTON RIVER"
"1","CHICKASAW STATE PARK"
"1","LINEAR POND"
"1","CONSERVATION LAKE"
"1","TWO RIVERS PARK POND"
"1","HOLTSON RIVER"
"1","LAKE KEFAUVER"
"1","HINES CREEK"
"1","MILLERS POND"
"1","STINKING CREEK"
"1","ROCK ISLAND STATE PARK"
"1","LAKE CATHERINE"
"1","WOODHAVEN LAKE"
"1","NORSE LAKE"
"1","ROARING RIVER"
"1","EAST FORK STONES RIVER"
"1","ONEAL LAKE"
"1","MLK RIVERSIDE PARK"
"1","LEWISBURG LAKE"
"1","CHATATA CREEK"
"1","YELLOW BASS"
"1","DARTMOOR LAKE"
"1","NORTH MOUSE CREEK"
"1","WILLIAMSPORT-SHELLCRACKER LAKE"
"1","LIVINGSTON CITY LAKE"
"1","S. FORK INDIAN CREEK"
"1","ONEIDA CITY PARK"
"1","BIG GOOSE CREEK"
"1","STEELS CREEK"
"1","EAST FORK OBEY RIVER"
"1","WHITES POND"
"1","WALDENS CREEK"
"1","GREENBRIER LAKE"
"1","STEELE CREEKE"
"1","WHISPERING WINDS LAKE"
"1","BIG CREEK"
"1","SMITH FORK RIVER"
"1","TIM FORD RES"
"1","OBED CREEK"
"1","PERCY PRIEST LAKE"
"1","BROWN'S LAKE"
"1","S.F. HOLTON RIVER"
"1","NASHOBA PARK LAKE"
"1","CHLHOWEE RES"
"1","STEELE CREEK PARK"
"1","CITY LAKE"
"1","LAKELYNS POND"
"1","FT. CAMPBELL KIDS FISHING AREA"
"1","HAMPTON CREEK"
"1","HATCHIE REFUGE"
"1","FRAZIER POND"
"1","STATION CAMP CREEK"
"1","WILLIAMSPORT (BLUECAT) LAKE"
"1","LITRELL POND"
"1","FALL CREEK FALLSLAKE"
"1","LITTLE STONEY CREEK"
"1","FORKED DEER RIVER"
"1","LITTLE TENNESSEE RIVER"
"1","CREECH HOLLOW LAKE"
"1","ROUND LICK CREEK"
"1","S. HARPETH RIVER"
"1","DRAKES CREEK"
"1","WILLIAMSPORT-GOLDEN EYE"
"1","CUB CREEK LAKE"
"1","FT. LOUDOUN DAM"
"1","JOHNSON WC PARK LAKE"
"1","FRENCH BROAD"
"1","SOUTH FORK HOLSOTN RIVER"
"1","DOUGLAS  RES"
"1","ROSSVILLE PARK"
"1","MARCUM LAKE"
"1","MORRIS RES"
"1","CALEDONIA CREEK LAKE"
"1","DAVY CROCKETT LAKE"
"1","HUNTER LAKE"
"1","VANN'S POND"
"1","KELLY LAKE"
"1","ROSSVILLE CITY PARK"
"1","TABOR LAKE"
"1","RINEY RIVER"
"1","FOUNTAIN CITY LAKE"
"1","WILLIAMS POND"
"1","BEECH RIVER"
"1","MONTGOMERY BELL STATE PARK"
"1","WESTHAVEN LAKE"
"1","DICKSON POND"
"1","W. PRONG LITTLE PIGEON RIVER"
"1","DILLARDS POND"
